epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,122.853,0.50557,0.41424,0.86197,0.98694,0.99426,0.99487,0.87839,0.49659,0.74915,0.89546,0.00021532,0.00021532,0.00021532
16,130.429,0.47441,0.52916,0.91055,0.99103,0.98684,0.99474,0.87502,0.50044,0.73198,0.91008,0.00022575,0.00022575,0.00022575
17,138.192,0.4745,0.4518,0.88174,0.98349,1,0.995,0.87868,0.48015,0.72254,0.91215,0.00023552,0.00023552,0.00023552
18,145.672,0.41795,0.473,0.88939,0.98349,1,0.995,0.87868,0.48015,0.72254,0.91215,0.00024463,0.00024463,0.00024463
19,152.908,0.50026,0.51419,0.88897,0.99745,1,0.995,0.89417,0.45467,0.6203,0.90593,0.00025308,0.00025308,0.00025308
20,160.273,0.4884,0.45158,0.90963,0.99745,1,0.995,0.89417,0.45467,0.6203,0.90593,0.00026087,0.00026087,0.00026087
21,167.681,0.48223,0.44289,0.89848,0.99787,1,0.995,0.88847,0.47329,0.63496,0.92267,0.000268,0.000268,0.000268
22,175.034,0.44924,0.40762,0.88345,0.99787,1,0.995,0.88847,0.47329,0.63496,0.92267,0.00027447,0.00027447,0.00027447
23,182.445,0.48743,0.41505,0.8737,0.99822,1,0.995,0.88713,0.50105,0.59858,0.94477,0.00028028,0.00028028,0.00028028
24,189.775,0.46833,0.40908,0.92076,0.99822,1,0.995,0.88713,0.50105,0.59858,0.94477,0.00028543,0.00028543,0.00028543
25,196.953,0.46569,0.38164,0.88056,0.99896,1,0.995,0.87398,0.5032,0.51176,0.93973,0.00028992,0.00028992,0.00028992
26,204.54,0.44501,0.34628,0.88161,0.99896,1,0.995,0.87398,0.5032,0.51176,0.93973,0.00029375,0.00029375,0.00029375
27,212.075,0.43056,0.37057,0.86448,0.99949,1,0.995,0.89132,0.46117,0.45978,0.88975,0.00029692,0.00029692,0.00029692
28,219.501,0.49152,0.39606,0.9148,0.99949,1,0.995,0.89132,0.46117,0.45978,0.88975,0.00029943,0.00029943,0.00029943
29,227.246,0.4665,0.38669,0.88283,0.99958,1,0.995,0.91755,0.38895,0.43211,0.83836,0.00030128,0.00030128,0.00030128
30,234.886,0.43458,0.39274,0.90717,0.99958,1,0.995,0.91755,0.38895,0.43211,0.83836,0.00030247,0.00030247,0.00030247
31,242.471,0.43541,0.39684,0.88195,0.9993,1,0.995,0.93118,0.37338,0.40869,0.83102,0.000303,0.000303,0.000303
32,250.034,0.44033,0.38064,0.87564,0.9993,1,0.995,0.93118,0.37338,0.40869,0.83102,0.00030287,0.00030287,0.00030287
33,259.12,0.44505,0.36836,0.86392,0.99926,1,0.995,0.93244,0.36469,0.39196,0.83033,0.00030208,0.00030208,0.00030208
34,267.459,0.38627,0.33056,0.86218,0.99926,1,0.995,0.93244,0.36469,0.39196,0.83033,0.00030063,0.00030063,0.00030063
35,274.79,0.41795,0.36436,0.86933,0.99916,1,0.995,0.94559,0.35532,0.41072,0.8263,0.00029852,0.00029852,0.00029852
36,282.193,0.36677,0.33518,0.81001,0.99916,1,0.995,0.94559,0.35532,0.41072,0.8263,0.00029575,0.00029575,0.00029575
